"external id","name","content","read times","Author / external id","Display name?","Category"
"4499          ","会议室多媒体设备操作指南","多媒体演示系统操作方法<br>
<br>
<br>
1、打开开关板电源<br>
2、打开分屏器（VGA&nbsp;&nbsp;&nbsp;Multiplier）电源<br>
3、打开功放（SANYO）电源<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;a） 选“VIDEO&nbsp;&nbsp;Function”为“ViDeo—1”<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;b）查看“Speakers”选A为“on”选B为“off”<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;c）通过Master&nbsp;&nbsp;Volume调节音量<br>
4、打开投影机电源开关、电源开关，STANDBY/on开关<br>
5、打开电脑<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;用户名为：public（或各所的用户名）<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;上网密码为：NT40（或各所用户的密码）<br>
6、对于windows2000和windowsXP的电脑，必须用各自系统允许的用户名和密码登陆方可访问 你自己的电脑，进行数据交流。<br>
",21,"SU000000000001",False,"it社区"
"4500          ","如何重新安装好您的操作系统？","对于重新安装操作系统的用户，请按以下方法进行。<br>
1、断开网线、重新安装系统（推荐采用windows2000)。<br>
2、安装系统主要补丁程序（\\在线办公\病毒防治及系统补丁\系统补丁）。<br>
3、安装杀毒软件、升级病毒库，全面清杀系统病毒。<br>
4、连接网络，用windows update更新补丁程序。<br>
方法如下：<br>
a、开始---window update&nbsp;&nbsp;或&nbsp;&nbsp;&nbsp;开始----程序----windows update。<br>
b、进入microsoft windows update后，选“选择更新来安装”，这是windows update将查找您的系统的关键更新并提示更新数量。<br>
c、选“复查并安装更新”后，系统将列出所有更新内容。<br>
d、选“立即安装”，系统自动下载并安装补丁。<br>
e、重新启动系统。 <br>
　<br>
<br>
<br>
<br>
<br>
",86,"SU000000000001",False,"it社区"
"4501          "," 东方时尚绘图仪传图程序(for 2k)","东方时尚绘图仪传图程序安装方法(for 2K):&lt;br&gt;<br>
&lt;br&gt;<br>
&lt;br&gt;<br>
1.将所有批处理文件（*.bat）拷贝至本地机 c:\winnt\system32\目录下。&lt;br&gt;<br>
2.在c:\winnt\system32\目录下,批处理文件（*.bat）生成快捷方式文件(shut cut),方法是：选中该文件--鼠标右键--创建快捷方式(s)。&lt;br&gt;<br>
3.将快捷方式文件(shut cut)拷贝至本地机 C:\documents and settings\用户（你的登陆用户文件夹）\sendto\目录下。&lt;br&gt;<br>
4.如果你看不到sendto目录，选择“工具---文件夹选项---查看---隐藏文件和文件夹--显示所有文件和文件夹。&lt;br&gt;<br>
5.你可以使用绘图仪传图程序。 &lt;br&gt;<br>
",21,"SU000000000001",False,"it社区"
"4502          "," 规划大厦、建艺大厦绘图仪传图程序","建艺大厦绘图仪传图程序安装方法:&lt;br&gt;&lt;br&gt;<br>
&lt;br&gt;&lt;br&gt;<br>
&lt;br&gt;&lt;br&gt;<br>
1.将所有批处理文件（*.bat）拷贝至本地机 c:\winnt\system32\目录下。&lt;br&gt;&lt;br&gt;<br>
2.在c:\winnt\system32\目录下,批处理文件（*.bat）生成快捷方式文件(shut cut),方法是：选中该文件--鼠标右键--创建快捷方式(s)。&lt;br&gt;&lt;br&gt;<br>
3.将快捷方式文件(shut cut)拷贝至本地机 C:\documents and settings\用户（你的登陆用户文件夹）\sendto\目录下。&lt;br&gt;&lt;br&gt;<br>
4.如果你看不到sendto目录，选择“工具---文件夹选项---查看---隐藏文件和文件夹--显示所有文件和文件夹。&lt;br&gt;&lt;br&gt;<br>
5.你可以使用绘图仪传图程序。 &lt;br&gt;&lt;br&gt;<br>
",108,"SU000000000001",False,"it社区"
"4503          ","电脑信息管理细则","各部门：<br>
<br>
现将《电脑信息管理细则》公布，其摘要已列入院《员工手册》，望执行。",26,"SU000000000001",False,"it社区"
"4504          ","东方时尚绘图仪传图程序（for xp)","东方时尚绘图仪传图程序安装方法(for xp):<br>
<br>
<br>
<br>
1.将所有批处理文件（*.bat）拷贝至本地机 c:\winnt\system32\目录下。<br>
2.在c:\winnt\system32\目录下,批处理文件（*.bat）生成快捷方式文件(shut cut),方法是：选中该文件--鼠标右键--创建快捷方式(s)。<br>
3.将快捷方式文件(shut cut)拷贝至本地机 C:\documents and settings\用户（你的登陆用户文件夹）\sendto\目录下。<br>
4.如果你看不到sendto目录，选择“工具---文件夹选项---查看---隐藏文件和文件夹--显示所有文件和文件夹。<br>
5.你可以使用绘图仪传图程序。 <br>
",30,"SU000000000001",False,"it社区"
"4505          ","A3彩色扫描仪位置","建艺大厦总部：<br>
电脑房（1009）：Microteck XL9600, Microteck XL6400（单张扫描）<br>
信息室（1101）：虹光AV8000S(40page/min)（带进纸器，可分批扫描）<br>
东方时尚分部：<br>
三所（A503)：虹光FB6000（单张扫描）<br>
电子院分部：<br>
建筑环境所（406）：虹光FB6000（单张扫描）<br>
<br>
IMPORTANT:请大家根据需要到就近的地点扫描（此外各所还配备了A4扫描仪）。<br>
",17,"SU000000000001",False,"it社区"
"4506          "," 查杀“震荡波”专题","请各位将补丁程序和杀毒软件升级，可用附件中的软件进行专杀。<br>
补丁程序位置：\\在线办公\软件下栽\深规院工具\深规院工具\震荡波补丁。<br>
",5,"SU000000000001",False,"it社区"
"5720          ","如何更改你的Symantec父服务器名称","如何将 Symantec AntiVirus 企业版 8.0 客户端从一台父服务器移动到另一台父服务器

情形
Norton AntiVirus 企业版 (NAVCE) 旧版客户端或 Symantec AntiVirus 企业版 (Symantec AV) 客户端已作为某个 Symantec AV 8.0 服务器的受管理客户端安装，现在您希望将该客户端移动到另一台父服务器上。

解释
使用以下两种方法之一可以实现这一点。要移动选定的几个客户端，请使用方法 1。要移动所有客户端，则既可以使用方法 1 也可以使用方法 2。

方法 1：将一个或多个客户端移动到另一台父服务器上
要将某些客户端移动到另一台服务器上，应将新的父服务器上的 Grc.dat 文件复制到将受其管理的所有客户端上。可以通过很多种分发方法来实现这一点，但最常用的方法是使用登录脚本。

Grc.dat 文件在父服务器上所处的位置 
·	如果父服务器采用的是 Windows NT 或 2000 操作系统，那么应从父服务器上的 VPHOME 共享文件夹复制 Grc.dat 文件。默认情况下，VPHOME 共享文件夹指向父服务器上的 C:\Program Files\SAV。 
·	如果父服务器采用的是 NetWare 操作系统，则应从 SYS:SAV 文件夹复制 Grc.dat 文件。
 
注意：如果要将客户端移动到另一台父服务器，并且想将它们添加到一个特定的客户端组，则应使用 \SAV\Groups\<groupname> 目录中的 Grc.dat 文件，其中 <groupname> 表示该客户端组的名称。 
 

Grc.dat 文件在客户端上的位置
根据您使用的操作操作，将 Grc.dat 文件复制到相应的文件夹中。 
·	Windows 98：默认的文件夹位置为 C:\Program Files\Symantec_Client_Security\Symantec AntiVirus\。 
·	Windows NT：默认的文件夹位置为 C:\WinNT\Profiles\All Users\Application Data\Symantec\Norton AntiVirus Corporate Edition\7.5\。 
·	Windows 2000/XP：默认的文件夹位置为 C:\Documents and Settings\All Users\Application Data\Symantec\Norton AntiVirus Corporate Edition\7.5\。 
 
注意：在 Windows 2000/XP 上，目录“Application Data”(C:\Documents and Settings\All Users\Application Data) 是隐藏目录。有关配置 Windows 资源管理器显示隐藏目录的指导，请参阅文档：如何显示 Windows 中的隐藏文件和受保护的操作系统文件（英文）。 
 
如果有使用 Norton AntiVirus 企业版 7.5 或 7.6 的客户端，则相应的文件夹为： 
·	Windows NT：默认的文件夹位置为 C:\WinNT\Profiles\All Users\Application Data\Symantec\Norton AntiVirus Corporate Edition\7.5\。 
·	Windows 2000/XP：默认的文件夹位置为 C:\Documents and Settings\All Users\Application Data\Symantec\Norton AntiVirus Corporate Edition\7.5\。
 
注意：在 Windows 2000/XP 上，目录“Application Data”(C:\Documents and Settings\All Users\Application Data) 是隐藏目录。有关配置 Windows 资源管理器显示隐藏目录的指导，请参阅文档：如何显示 Windows 中的隐藏文件和受保护的操作系统文件（英文）。 
 
·	Windows 95/98/Me：该版本的默认位置为 C:\Program Files\Norton AntiVirus\。

几分钟后，Symantec AV 客户端就会在此文件夹下找到 Grc.dat 文件。Symantec AV 会对注册表进行适当的更改并删除 Grc.dat 文件。
 
注意：如果不从初始的父服务器上卸载 Symantec AV 服务器软件，那么，在之后的30 天内，两台服务器下的 Symantec 系统中心 (SSC) 都会显示这些客户机。原来的 Symantec AV 服务器在停止接收来自该客户端的保持连接包之后的 30 天内，仍会在其高速缓存中保留客户端信息。要避免或解决此问题，请参阅文档：如何从 Symantec 系统中心删除客户端（英文）。 
 

方法 2：将所有客户端移动到另一台父服务器上
如果要将所有客户端移动到另一台父服务器上，那么更改初始父服务器上的一个特定注册表键就可以自动将客户端定向到一台新的父服务器。如果当前的父服务器不再工作，则应使用方法 1。
 
警告：强烈建议您在对系统注册表进行任何更改之前先将其备份。错误地更改注册表可能会导致数据永久丢失或文件损坏。请确保只修改指定的键。 
 
1.	导航至下列注册表子键：
HKEY_LOCAL_MACHINE\SOFTWARE\INTEL\LanDesk\VirusProtect6\CurrentVersion\ClientConfig2.	将“Parent”名更改为新的父服务器的计算机名。 
3.	将“AlertDirectory”名更改为新的父服务器。 
4.	将“RemoteHomeDirectory”名更改为新的父服务器。 
5.	如果在服务器组间转移客户端，需要将""DomainName""更名为新的服务器组名称。 
6.	关闭注册表编辑器。 
7.	打开 Symantec 系统中心。 
8.	用鼠标右键单击初始的父服务器，指向“所有任务”，再指向 Symantec AntiVirus，然后单击“客户端实时防护选项”。 
9.	单击“全部重设”。这将生成 Grc.dat 文件的一个新副本，从而将客户端指向新的父服务器。

当客户端签入初始的父服务器时，会接收到配置更改，并开始与新的父服务器通信。如果停止然后重新启动 Symantec AV 服务器服务，或者重新启动初始父服务器，则 Grc.dat 文件会再一次将客户端指向初始父服务器。未接收到配置更改的客户端将仍然由初始父服务器管理。
 
注意：如果不从初始的父服务器上卸载 Symantec AV 服务器软件，那么，在之后的30 天内，两台服务器下的 Symantec 系统中心 (SSC) 都会显示这些客户机。原来的 Symantec AV 服务器在停止接收来自该客户端的保持连接包之后的 30 天内，仍会在其高速缓存中保留客户端信息。要避免或解决此问题，请参阅文档：如何从 Symantec 系统中心删除客户端（英文）。 
 

",85,"SU000000000001",False,"it社区"
"5864          ","如何访问院内不同办公地点的计算机","目前我院已建成100M--100M--10M的建艺大厦、规划大厦和电子院的光纤VPN三点之间通过配置网关和IP地址可以实现任意两台电脑之间的互联。<br>
1、配置电脑。IP地址已分配给各所，网关：建艺大厦（10.100.100.244)；规划大厦（10.100.103.1)；电子院(10.100.102.1).<br>
2、Internet通过代理服务器上网，使用前必须申请，如果你申请了Internet上网，请配置代理服务器地址即可上网，代理服务器地址为：建艺大厦（10.100.100.117);规划大厦（10.100.103.2)；电子院（10.100.102.3).配置代理服务器时，如过需要上内网请选择""对以下地址不使用代理服务器""项，并将地址设为：10.100.*<br>
3、如果要实现点对点之间的互联（如：拷贝文件等），“开始--运行--\\对方的IP地址”，如：你希望访问IP地址为""10.100.103.254""的电脑,在“开始--运行”中输入“\\10.100.103.254”,按“Enter”键即可。",181,"SU000000000001",False,"it社区"
"HI200902260010","深圳市罗湖区04-02号片区[清水河地区]法定图则修编(草案)","<P>&nbsp;</P><A href=""http://10.100.100.204/hp_module/uploadFile/7A218E7D8ED3478200922712011.pdf"" target=_blank>深圳市罗湖区04-02号片区(清水河地区)法定图则修编(草案).pdf</A>",94,"SU080715000001",False,"案例"
"HI200903160012","沙井中心地区南片图则委审查版2009-3","<A href=""http://10.100.100.204/hp_module/uploadFile/20081121-1045200931635245.ppt"" target=_blank>沙井中心地区南片图则委审查版2009-3.ppt</A>",60,"SU000000000042",False,"案例"
"HI200903160013","法定图则（草案）公众意见审议表(范例)","<P><A href=""http://10.100.100.204/hp_module/uploadFile/20081121-1045200931635419.doc"" target=_blank></A>&nbsp;</P><A href=""http://10.100.100.204/hp_module/uploadFile/20081121-104520093163575.doc"" target=_blank>法定图则（草案）公众意见审议表(范例).doc</A>",75,"SU000000000042",False,"案例"
"HI201005110013","石岩东法定图则---公众意见处理演示稿","<P><A href=""http://10.100.100.204/hp_module/uploadFile/P6126CN201051122153.rar"" target=_blank></A>&nbsp;</P>
<P>&nbsp; <A href=""http://10.100.100.204/hp_module/uploadFile/P6126CN201051421347.rar"" target=_blank>石岩东法定图则---公众意见处理演示稿.rar</A>（来自设计所-游俊霞）</P>
<P>&nbsp;</P>",47,"SU080715000001",False,"案例"
"HI200608310016","班车暂停！","<P>第一班：<BR><BR>9：15&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 建&nbsp;&nbsp;&nbsp; 艺————规划大厦&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<BR><BR>第二班：<BR><BR>11 :10&nbsp;&nbsp;&nbsp;&nbsp; 建&nbsp;&nbsp;&nbsp; 艺————规划大厦<BR>11：40&nbsp;&nbsp; 规划大厦————建&nbsp;&nbsp;&nbsp; 艺<BR><BR>第三班：<BR><BR>2：15&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 建&nbsp;&nbsp;&nbsp; 艺 ————规划大厦<BR>2：45&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 规划大厦—————建&nbsp;&nbsp; 艺<BR><BR>第四班：<BR><BR>4：10&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 建&nbsp;&nbsp;&nbsp; 艺—————规划大厦<BR>5：00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 规划大厦—————建&nbsp;&nbsp;&nbsp; 艺</P>
<P>&nbsp;</P>",9016,"SU000000000011",False,"班车信息"
"HI200604210004","院外文件目录查询","<P><A href=""http://10.100.100.204/hp_module/uploadFile/KENDY200642113551.doc"" target=_blank></A>&nbsp;</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-MALI20064217115.doc"" target=_blank>收文登记本（2005年度）(1).doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200710178422.doc"" target=_blank>收文登记本（2006年度）.doc</A><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY2007101785821.doc"" target=_blank>~</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200710179251.doc"" target=_blank>收文登记本（2007年度）.doc</A></P>
<P>2008年收文登记（院外来文）</P>
<P>2<A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200982114048.doc"" target=_blank>009年收文登记（院外来文）.doc</A></P>",989,"SU000000000011",False,"办公室工作指引"
"HI200604280025","08年院购买意外险及交通意外险名单","<P><A href=""http://10.100.100.204/hp_module/uploadFile/20081121-10452008121074914.xls"" target=_blank>08年购买人身意外、交通意外险名单(内网).xls</A></P>",1386,"SU000000000010",False,"办公室工作指引"
"HI200709050016","拟录入员工手续办理查询","<P><A href=""http://10.100.100.204/hp_module/uploadFile/MS-4957A564157720079565646.doc"" target=_blank>拟录用员工手续办理情况查询.doc</A></P>
<P>&nbsp;</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI200873134654.doc"" target=_blank>拟调入本市员工手续办理情况查询(200807031).doc</A></P>
<P>&nbsp;</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI200812121223.doc"" target=_blank>拟录用员工手续办理情况查询（081128）.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200931732254.doc"" target=_blank>拟录用员工手续办理情况查询（09、3、11）.doc</A></P>
<P>拟录用员工手续办理情况查询（09、5、12）.do</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200982123519.doc"" target=_blank>拟录用员工手续办理情况查询（2009、8、19）.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIUY200912222648.doc"" target=_blank>拟录用员工手续办理情况查询（2009、12、2）.doc</A></P>",1975,"SU000000000011",False,"办公室工作指引"
"HI200804230016","院内文件查询","<P><A href=""http://10.100.100.204/hp_module/uploadFile/MS-4957A5641577200842372836.doc"" target=_blank></A>&nbsp;</P>
<P><U><FONT color=#0000ff></FONT></U>&nbsp;</P>
<P><U><FONT color=#0000ff></FONT></U>&nbsp;</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201121734659.doc"" target=_blank>院长办公扩大会议纪要11年5号-1.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201111285322.doc"" target=_blank>院长办公扩大会议纪要11年24号-2.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201211392437.doc"" target=_blank>院长办公扩大会议纪要11年28号-3.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201233083736.doc"" target=_blank>院长办公会议纪要12年7号-1.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201271014217.doc"" target=_blank>院长办公会纪要12年9号-3.doc</A></P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI201271014249.doc"" target=_blank>院长办公会纪要12年15号-4.doc</A></P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-LIPEI2012827119.doc"" target=_blank>院长办公会纪要12年16号-5.doc</A>",7068,"SU000000000007",False,"办公室工作指引"
"HI200812300022","院发购书卡、美发卡使用细则","<P><A href=""http://10.100.100.204/hp_module/uploadFile/BGS-OUYANGD200812308441.doc"" target=_blank></A>&nbsp;</P>
<P><A href=""http://10.100.100.204/hp_module/uploadFile/OUYAND-PC201012297458.doc"" target=_blank>首脑各店地址.doc</A></P><A href=""http://10.100.100.204/hp_module/uploadFile/OUYAND-PC201112208144.doc"" target=_blank>院发美发卡书卡使用细则（新）.doc</A>",1406,"SU000000000012",False,"办公室工作指引"
"HI200907080016","院新员工租房指南","<A href=""http://10.100.100.204/hp_module/uploadFile/BGS-OUYANGD20097885937.doc"" target=_blank>深规院新员工租房指南.doc</A>",700,"SU000000000012",False,"办公室工作指引"
"HI200809240004","测试","投诉信箱测试",,"SU000000000012",False,"办公室投诉信箱"
"30010         ","3.11 深圳市民用建筑设计技术要求与规定 （试行）（99年）","见附件",49,"SU000000000001",False,"标准"
"30011         ","3.7 深圳市城市规划标准与准则－－条文说明","见附件",146,"SU000000000001",False,"标准"
"30012         ","3.6 深圳市城市规划标准与准则－－条文","见附件",192,"SU000000000001",False,"标准"
"30013         ","3.5 广东省城市规划指引----中心镇规划指引.pdf","见附件",49,"SU000000000001",False,"标准"
"30014         ","3.4 广东省城市规划指引——环城绿带规划指引.pdf","见附件",42,"SU000000000001",False,"标准"
"30015         ","3.1 广东省城市规划指引--城市广场规划设计指引.pdf","见附件",57,"SU000000000001",False,"标准"
"30016         ","3.3 广东省城市规划指引--区域绿地规划指引.pdf","见附件",57,"SU000000000001",False,"标准"
"30027         ","3.10 深圳市建设场地环境设计标准与准则 （试行）（99年）","见附件",48,"SU000000000001",False,"标准"
"30028         ","3.9 深圳市法定图则编制技术规定06-20","见附件",145,"SU000000000001",False,"标准"
"30029         ","3.8 深圳市房屋拆迁管理办法 （1994年）","见附件",35,"SU000000000001",False,"标准"
"30030         ","3.2 广东省城市规划指引·村镇规划指引","见附件",51,"SU000000000001",False,"标准"
"30031         ","居住区环境景观设计导则（试行稿）","见附件",57,"SU000000000001",False,"标准"
"30032         ","深圳市建筑设计技术经济指标计算规定","见附件",51,"SU000000000001",False,"标准"
"30033         ","广东省中心镇总体规划成果审查的技术要点（试行）","见附件",33,"SU000000000001",False,"标准"
"30052         ","城镇环境卫生设施设置标准","见附件",46,"SU000000000001",False,"标准"
"30054         ","城镇燃气输配工程施工及验收规范","见附件",38,"SU000000000001",False,"标准"
"30055         ","城市供水水质标准","见附件",39,"SU000000000001",False,"标准"
"30056         ","《城市湿地公园规划设计导则（试行）》","见附件",87,"SU000000000001",False,"标准"
"30059         ","《室外排水设计规范》","见附件",51,"SU000000000001",False,"标准"
"30062         ","建筑工程建筑面积计算规范","见附件",76,"SU000000000001",False,"标准"
"HI200603270017","宿舍建筑设计规范(JGJ-2005)","<A href=""http://10.100.100.204/hp_module/uploadFile/JENNIFER200632764538.pdf"" target=_blank>宿舍建筑设计规范(JGJ-2005).pdf</A>",29,"SU000000000046",False,"标准"
"HI200603280019","城市公共厕所设计标准 CJJ 14-2005","<A href=""http://10.100.100.204/hp_module/uploadFile/JENNIFER200632864355.pdf"" target=_blank>城市公共厕所设计标准.pdf</A>",44,"SU000000000046",False,"标准"
"HI200603280028","人民防空地下室设计规范（GB50038-2005）","<A href=""http://10.100.100.204/hp_module/uploadFile/JENNIFER200632892253.pdf"" target=_blank>人民防空地下室设计规范（GB50038-2005）.pdf</A>",36,"SU000000000046",False,"标准"
"HI200604030022","住宅建筑规范（GB50368-2005）","<A href=""http://10.100.100.204/hp_module/uploadFile/JENNIFER20064364812.pdf"" target=_blank>住宅建筑规范（GB50368-2005）.pdf</A>",84,"SU000000000046",False,"标准"
